=== REPORTE DE INVENTARIO ===

PRODUCTOS:

[SKU00002] Multicontacto | Categoría: Energia | Precio: $384.76 | Stock: 56
[SKU00004] Capturadora Video | Categoría: Video | Precio: $3141.5 | Stock: 0
[SKU00005] Microfono Canon | Categoría: Audio | Precio: $1301.21 | Stock: 19
[SKU00006] Monitor Gaming Sony | Categoría: Electronica | Precio: $20049.63 | Stock: 3
[SKU00008] Pantalla Portatil LG | Categoría: Electronica | Precio: $7765.09 | Stock: 7
[SKU00010] Microfono Epson | Categoría: Audio | Precio: $2140.31 | Stock: 3
[SKU00011] NAS HyperX | Categoría: Almacenamiento | Precio: $6068.28 | Stock: 12
[SKU00013] Monitor Kingston | Categoría: Electronica | Precio: $8854.17 | Stock: 13
[SKU00014] Notebook Apple | Categoría: Electronica | Precio: $16508.71 | Stock: 25
[SKU00016] Monitor Gaming TP-Link | Categoría: Electronica | Precio: $10300.17 | Stock: 42
[SKU00017] Teclado Gaming Samsung | Categoría: Accesorios | Precio: $3005.65 | Stock: 1
[SKU00018] Teclado Mecanico Dell | Categoría: Accesorios | Precio: $2807.66 | Stock: 12
[SKU00019] Chromebook HyperX | Categoría: Electronica | Precio: $9468.39 | Stock: 19
[SKU00020] Bocina Bluetooth Corsair | Categoría: Audio | Precio: $1805.99 | Stock: 51
[SKU00021] Teclado Canon | Categoría: Accesorios | Precio: $443.0 | Stock: 58
[SKU00022] Touchpad MSI | Categoría: Accesorios | Precio: $1073.53 | Stock: 3
[SKU00023] Notebook Acer | Categoría: Electronica | Precio: $16884.4 | Stock: 6
[SKU00024] Microfono Sony | Categoría: Audio | Precio: $909.37 | Stock: 43
[SKU00025] USB Drive HyperX | Categoría: Almacenamiento | Precio: $287.57 | Stock: 6
[SKU00026] Teclado Gaming HP | Categoría: Accesorios | Precio: $1741.37 | Stock: 2
[SKU00027] Touchpad Seagate | Categoría: Accesorios | Precio: $1633.13 | Stock: 52
[SKU00029] Tarjeta Video Razer | Categoría: Componentes | Precio: $6017.67 | Stock: 24
[SKU00030] Teclado | Categoría: Accesorios | Precio: $987.06 | Stock: 31
[SKU00031] Monitor 4K Logitech | Categoría: Electronica | Precio: $15551.3 | Stock: 8
[SKU00032] Mouse Gaming | Categoría: Accesorios | Precio: $1736.95 | Stock: 1
[SKU00033] HDD Externo Lenovo | Categoría: Almacenamiento | Precio: $2140.74 | Stock: 54
[SKU00034] Stylus Logitech | Categoría: Accesorios | Precio: $493.72 | Stock: 52
[SKU00036] MacBook HP | Categoría: Electronica | Precio: $33921.26 | Stock: 15
[SKU00037] NAS Lenovo | Categoría: Almacenamiento | Precio: $11268.28 | Stock: 22
[SKU00038] Microfono HyperX | Categoría: Audio | Precio: $1170.44 | Stock: 45
[SKU00040] Mouse Gaming MSI | Categoría: Accesorios | Precio: $537.97 | Stock: 7
[SKU00041] Mouse HP | Categoría: Accesorios | Precio: $294.12 | Stock: 3
[SKU00043] Audifonos Bluetooth | Categoría: Audio | Precio: $799.81 | Stock: 1
[SKU00044] Microfono USB Logitech | Categoría: Audio | Precio: $1254.33 | Stock: 6
[SKU00045] Bocina Bluetooth Acer | Categoría: Audio | Precio: $1632.75 | Stock: 6
[SKU00046] Laptop Canon | Categoría: Electronica | Precio: $25792.08 | Stock: 4
[SKU00047] Stylus Seagate | Categoría: Accesorios | Precio: $333.9 | Stock: 7
[SKU00048] Teclado Anker | Categoría: Accesorios | Precio: $1208.22 | Stock: 41
[SKU00049] Microfono Kingston | Categoría: Audio | Precio: $2608.29 | Stock: 22
[SKU00051] Bocina Bluetooth Corsair | Categoría: Audio | Precio: $4455.12 | Stock: 10
[SKU00052] Audifonos HP | Categoría: Audio | Precio: $303.55 | Stock: 11
[SKU00054] Laptop Samsung | Categoría: Electronica | Precio: $15757.92 | Stock: 15
[SKU00055] USB Drive MSI | Categoría: Almacenamiento | Precio: $72.36 | Stock: 81
[SKU00056] Monitor Curvo TP-Link | Categoría: Electronica | Precio: $15880.62 | Stock: 28
[SKU00057] Audifonos Bluetooth Asus | Categoría: Audio | Precio: $1580.93 | Stock: 58
[SKU00058] SSD MSI | Categoría: Almacenamiento | Precio: $3181.35 | Stock: 28
[SKU00059] Microfono Sony | Categoría: Audio | Precio: $525.59 | Stock: 1
[SKU00060] Teclado Corsair | Categoría: Accesorios | Precio: $769.02 | Stock: 1
[SKU00061] Barra Sonido Xiaomi | Categoría: Audio | Precio: $5812.28 | Stock: 74
[SKU00062] Notebook Canon | Categoría: Electronica | Precio: $14643.16 | Stock: 21
[SKU00063] Monitor Gaming Dell | Categoría: Electronica | Precio: $18532.61 | Stock: 0
[SKU00064] Teclado Gaming Dell | Categoría: Accesorios | Precio: $2249.4 | Stock: 72
[SKU00065] Pantalla Portatil Logitech | Categoría: Electronica | Precio: $7010.78 | Stock: 27
[SKU00067] Touchpad LG | Categoría: Accesorios | Precio: $1121.71 | Stock: 33
[SKU00068] RAM Logitech | Categoría: Componentes | Precio: $2823.82 | Stock: 47
[SKU00069] Monitor Curvo Acer | Categoría: Electronica | Precio: $14540.23 | Stock: 23
[SKU00070] MicroSD Lenovo | Categoría: Almacenamiento | Precio: $503.58 | Stock: 40
[SKU00071] Mouse | Categoría: Accesorios | Precio: $413.09 | Stock: 0
[SKU00072] Monitor Curvo Xiaomi | Categoría: Electronica | Precio: $12923.15 | Stock: 7
[SKU00073] SSD Canon | Categoría: Almacenamiento | Precio: $1525.38 | Stock: 8
[SKU00074] Fuente Poder Gigabyte | Categoría: Componentes | Precio: $3821.9 | Stock: 12
[SKU00076] HDD Dell | Categoría: Almacenamiento | Precio: $873.88 | Stock: 1
[SKU00077] Lampara Escritorio | Categoría: Accesorios | Precio: $780.65 | Stock: 11
[SKU00078] MacBook Gigabyte | Categoría: Electronica | Precio: $36879.09 | Stock: 17
[SKU00079] Notebook HP | Categoría: Electronica | Precio: $11758.83 | Stock: 11
[SKU00080] Licencia Windows | Categoría: Software | Precio: $3003.59 | Stock: 48
[SKU00082] Touchpad Acer | Categoría: Accesorios | Precio: $1907.53 | Stock: 2
[SKU00083] Touchpad Canon | Categoría: Accesorios | Precio: $690.16 | Stock: 53
[SKU00084] Monitor Curvo SanDisk | Categoría: Electronica | Precio: $14642.43 | Stock: 52
[SKU00085] Audifonos Gaming Canon | Categoría: Audio | Precio: $1563.32 | Stock: 31
[SKU00086] Mouse Epson | Categoría: Accesorios | Precio: $312.02 | Stock: 15
[SKU00087] Ventilador | Categoría: Componentes | Precio: $1144.56 | Stock: 12
[SKU00088] Teclado Mecanico Epson | Categoría: Accesorios | Precio: $2704.77 | Stock: 16
[SKU00089] Notebook Acer | Categoría: Electronica | Precio: $17462.09 | Stock: 6
[SKU00090] Cable Ethernet | Categoría: Redes | Precio: $61.84 | Stock: 38
[SKU00091] SSD Corsair | Categoría: Almacenamiento | Precio: $1709.69 | Stock: 39
[SKU00092] Monitor MSI | Categoría: Electronica | Precio: $8194.12 | Stock: 20
[SKU00094] Monitor 4K MSI | Categoría: Electronica | Precio: $13869.65 | Stock: 28
[SKU00095] Microfono Anker | Categoría: Audio | Precio: $3314.69 | Stock: 65
[SKU00096] Teclado Mecanico MSI | Categoría: Accesorios | Precio: $1087.63 | Stock: 50
[SKU00097] Monitor Anker | Categoría: Electronica | Precio: $4480.67 | Stock: 29
[SKU00098] Teclado Seagate | Categoría: Accesorios | Precio: $1008.83 | Stock: 36
[SKU00099] Monitor MSI | Categoría: Electronica | Precio: $12532.1 | Stock: 55
[SKU00100] Audifonos Bluetooth HP | Categoría: Audio | Precio: $2141.14 | Stock: 38
[SKU00102] Teclado Mecanico Xiaomi | Categoría: Accesorios | Precio: $2023.03 | Stock: 10
[SKU00103] MacBook HyperX | Categoría: Electronica | Precio: $51655.91 | Stock: 3
[SKU00104] Bocina Bluetooth Asus | Categoría: Audio | Precio: $1773.37 | Stock: 15
[SKU00105] Microfono WD | Categoría: Audio | Precio: $2600.51 | Stock: 47
[SKU00106] Pantalla Portatil WD | Categoría: Electronica | Precio: $5243.58 | Stock: 11
